timesteps,lambda,eval_return,eval_cost
10000,0.017,4.615637082090462,0.8
20000,0.024,4.90303943556024,0.8
30000,0.031,3.996315289795704,0.8
40000,0.038,5.379302843035497,0.8
50000,0.045,5.442408156668316,0.8
60000,0.052,5.45541777625111,0.8
70000,0.059,5.45541777625111,0.8
80000,0.066,5.45541777625111,0.8
90000,0.07300000000000001,5.45541777625111,0.8
100000,0.08000000000000002,5.45541777625111,0.8
110000,0.08700000000000002,5.45541777625111,0.8
120000,0.09400000000000003,5.45541777625111,0.8
130000,0.10100000000000003,5.45541777625111,0.8
140000,0.10800000000000004,5.45541777625111,0.8
150000,0.11500000000000005,5.45541777625111,0.8
160000,0.12200000000000005,5.45541777625111,0.8
170000,0.12900000000000006,5.45541777625111,0.8
180000,0.13600000000000007,5.45541777625111,0.8
190000,0.14300000000000007,5.45541777625111,0.8
200000,0.15000000000000008,5.45541777625111,0.8
210000,0.15700000000000008,5.45541777625111,0.8
220000,0.1640000000000001,5.45541777625111,0.8
230000,0.1710000000000001,5.45541777625111,0.8
240000,0.1780000000000001,5.45541777625111,0.8
250000,0.1850000000000001,5.45541777625111,0.8
260000,0.19200000000000012,5.45541777625111,0.8
270000,0.19900000000000012,5.45541777625111,0.8
280000,0.20600000000000013,5.45541777625111,0.8
290000,0.21300000000000013,5.45541777625111,0.8
300000,0.22000000000000014,5.45541777625111,0.8
