timesteps,lambda,eval_return,eval_cost
10000,0.017,5.382441277383687,0.8
20000,0.024,5.370854257287751,0.8
30000,0.031,5.304689220156971,0.8
40000,0.038,5.397777829518099,0.8
50000,0.045,5.45541777625111,0.8
60000,0.052,5.45541777625111,0.8
70000,0.059,5.45541777625111,0.8
80000,0.066,5.45541777625111,0.8
90000,0.07300000000000001,5.438686597670477,0.8
100000,0.08000000000000002,5.45541777625111,0.8
110000,0.08700000000000002,5.421343241737597,0.8
120000,0.09400000000000003,5.45541777625111,0.8
130000,0.10100000000000003,5.45541777625111,0.8
140000,0.10800000000000004,5.45541777625111,0.8
150000,0.11500000000000005,5.374402199121703,0.8
160000,0.12250000000000005,0.7468240342623111,0.85
170000,0.13000000000000006,0.7468240342623111,0.85
180000,0.13750000000000007,0.7468240342623111,0.85
190000,0.14500000000000007,0.7468240342623111,0.85
200000,0.15250000000000008,0.7468240342623111,0.85
210000,0.1600000000000001,0.7468240342623111,0.85
220000,0.1675000000000001,0.9668240342623114,0.85
230000,0.1750000000000001,3.934526083488957,0.85
240000,0.1825000000000001,3.6290462564845343,0.85
250000,0.1900000000000001,3.6290462564845343,0.85
